model,subject,n_windows,accuracy,f1,precision,recall
Chronos2,subject_01,159,0.9056603773584906,0.9504950495049505,0.9171974522292994,0.9863013698630136
Chronos2,subject_02,144,0.9166666666666666,0.9562043795620438,0.916083916083916,1.0
Chronos2,subject_03,116,0.8793103448275862,0.9357798165137615,0.8869565217391304,0.9902912621359223
Chronos2,subject_04,119,0.8823529411764706,0.9375,0.8898305084745762,0.9905660377358491
Chronos2,subject_05,117,0.9230769230769231,0.9569377990430622,0.9523809523809523,0.9615384615384616
Chronos2,subject_06,125,0.896,0.9451476793248945,0.896,1.0
TransformerCNN,subject_01,159,0.9748427672955975,0.9863945578231292,0.9797297297297297,0.9931506849315068
TransformerCNN,subject_02,144,0.8402777777777778,0.9105058365758755,0.9285714285714286,0.8931297709923665
TransformerCNN,subject_03,116,0.8706896551724138,0.9302325581395349,0.8928571428571429,0.970873786407767
TransformerCNN,subject_04,119,0.8823529411764706,0.9375,0.8898305084745762,0.9905660377358491
TransformerCNN,subject_05,117,0.9316239316239316,0.9629629629629629,0.9285714285714286,1.0
TransformerCNN,subject_06,125,0.904,0.9491525423728814,0.9032258064516129,1.0
CrossGNN,subject_01,159,0.8805031446540881,0.9347079037800687,0.9379310344827586,0.9315068493150684
CrossGNN,subject_02,144,0.7777777777777778,0.8709677419354839,0.9230769230769231,0.8244274809160306
CrossGNN,subject_03,116,0.8706896551724138,0.9308755760368663,0.8859649122807017,0.9805825242718447
CrossGNN,subject_04,119,0.8823529411764706,0.9369369369369369,0.896551724137931,0.9811320754716981
CrossGNN,subject_05,117,0.9572649572649573,0.9765258215962441,0.9541284403669725,1.0
CrossGNN,subject_06,125,0.864,0.927038626609442,0.8925619834710744,0.9642857142857143
